                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,                 1.5204,                 1.4263,                 1.4838,                0.74749,                0.77324,                0.79152,                0.45842,                 1.5046,                0.93728,                 1.5362,              0.0033287,              0.0033287,              0.0033287
2,                 1.3742,                0.96524,                 1.3476,                0.78816,                0.78163,                0.81898,                0.47275,                 1.4975,                0.88968,1525,              0.0066401,              0.0066401,              0.0066401
3,                 1.3907,                0.95152,                 1.3511,                0.81289,                0.79131,                0.84102,                 0.4761,                 1.4974,                 0.9106,                 1.5363,              0.0099294,              0.0099294,              0.0099294
4,                 1.4025,                0.95738,                 1.3658,                0.79813,                 0.7933,                0.83567,                0.47812,                 1.4728,                0.88107,                 1.5465,               0.009901,               0.009901,               0.009901
5,                 1.3778,                0.90444,1349,                0.80083,                0.78536,                0.82476,                0.47717,1475,                0.87009,                 1.5366,               0.009868,               0.009868,               0.009868
6,                 1.3672,                0.89123,                 1.3357,                0.80511,                0.79435,                0.82836,                0.48415,                 1.4378,                0.83617,                 1.4929,               0.009835,               0.009835,               0.009835
7,                 1.3497,                0.85923,                 1.3247,                0.81901,                0.81687,                0.85979,                0.49993,                 1.4497,                0.81689,                 1.4991,               0.009802,               0.009802,               0.009802
8,                 1.3353,                0.84484,                 1.3158,                0.84562,                0.81696,                0.85408,                0.51082,                 1.4425,                0.81641,                 1.4707,               0.009769,               0.009769,               0.009769
9,                 1.3242,                0.83758,                 1.3127,                0.80545,                0.81979,                0.84747,                0.50521,                 1.4342,                0.79819,                 1.4745,               0.009736,               0.009736,               0.009736
10,                 1.3025,                 0.8136,                 1.3041,                0.82144,                0.83492,                 0.8578,                0.51499,                 1.4177,                0.79132,                 1.4735,               0.009703,               0.009703,               0.009703
11,                 1.3139,                0.81022,                 1.3005,                0.82146,                0.82362,                0.85327,                0.51172,                 1.4101,                0.79888,1452,                0.00967,                0.00967,                0.00967
12,                 1.2924,                0.79392,                 1.2981,                0.85076,822,                0.86138,                0.51919,                 1.4152,                0.76229,                 1.4733,               0.009637,               0.009637,               0.009637
